# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1402.72,1418,1,0,32,2,0,684032,0,0,28512,0,106340,0,5344
initmem,1401.66,1414,1,0,32,2,0,684032,0,0,28496,0,106598,0,5344
initmem,1401.5,1414,1,0,32,2,0,684032,0,0,28496,0,106736,0,5344
initmem,1401.95,1414,1,0,32,2,0,684032,0,0,28512,0,106372,0,5344
initmem,1401.98,1414,1,0,32,2,0,683904,0,0,28496,0,107220,0,5343
initmem,1401.44,1413,1,0,32,2,0,684032,0,0,28496,0,106487,0,5344
memcopy,18394.9,19682,,,,
memcopy,18629.2,19341,,,,
memcopy,18634.8,19423,,,,
update_e,30560.1,30577,1,0,112,11,3206008,2024832,0,0,113040,0,1949240,0,5308
update_src,9.216,23,0.312,0,40,26,19,76,0,0,30,0,570,0,1
update_h,26577.2,26590,1,0,88,13,2699232,2024448,0,0,113024,0,2056493,0,5308
update_e,30587.1,30601,1,0,112,11,3205400,2024448,0,0,113024,0,1945188,0,5308
update_src,8.768,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,26631.2,26644,1,0,88,13,2699744,2024832,0,0,113088,0,2054564,0,5308
update_e,30664.7,30677,1,0,112,11,3206008,2024832,0,0,113024,0,1946607,0,5308
update_src,8.8,22,0.312,0,40,26,19,76,0,0,0,0,0,0,1
update_h,26546.6,26559,1,0,88,13,2699232,2024448,0,0,113088,0,2053132,0,5308
update_e,30696.1,30710,1,0,112,11,3205400,2024448,0,0,113024,0,1949226,0,5308
update_src,8.768,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,26543.5,26557,1,0,88,13,2699744,2024832,0,0,113040,0,2057480,0,5308
update_e,30697.7,30711,1,0,112,11,3206008,2024832,0,0,113088,0,1950186,0,5308
update_src,8.64,22,0.312,0,40,26,19,76,0,0,0,0,0,0,1
update_h,26579.9,26592,1,0,88,13,2699232,2024448,0,0,113024,0,2053893,0,5308
update_e,30603.8,30617,1,0,112,11,3205400,2024448,0,0,113088,0,1949242,0,5308
update_src,8.928,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,26665.8,26679,1,0,88,13,2699744,2024832,0,0,113024,0,2055777,0,5308
update_e,30674.1,30687,1,0,112,11,3206008,2024832,0,0,113040,0,1947923,0,5308
update_src,8.8,22,0.312,0,40,26,19,76,0,0,30,0,588,0,1
update_h,26567.8,26581,1,0,88,13,2699232,2024448,0,0,113024,0,2053334,0,5308
update_e,30646.2,30659,1,0,112,11,3205400,2024448,0,0,113024,0,1943532,0,5308
update_src,8.576,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,26571.4,26585,1,0,88,13,2699744,2024832,0,0,113088,0,2050716,0,5308
update_e,30624.8,30638,1,0,112,11,3206008,2024832,0,0,113024,0,1940963,0,5308
update_src,8.512,22,0.312,0,40,26,19,76,0,0,0,0,0,0,1
update_h,26638.2,26651,1,0,88,13,2699232,2024448,0,0,113088,0,2056684,0,5308
update_e,30597,30611,1,0,112,11,3205400,2024448,0,0,113024,0,1948510,0,5308
update_src,8.608,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,26531.5,26544,1,0,88,13,2699744,2024832,0,0,113040,0,2056340,0,5308
