# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1402.53,1419,1,0,32,2,0,684032,0,0,28512,0,105800,0,5344
initmem,1401.09,1413,1,0,32,2,0,684032,0,0,28496,0,107217,0,5344
initmem,1401.41,1413,1,0,32,2,0,684032,0,0,28496,0,107779,0,5344
initmem,1401.02,1413,1,0,32,2,0,684032,0,0,28512,0,107512,0,5344
initmem,1401.34,1413,1,0,32,2,0,683904,0,0,28496,0,107085,0,5343
initmem,1401.41,1414,1,0,32,2,0,684032,0,0,28496,0,106332,0,5344
memcopy,18400.6,19741,,,,
memcopy,18633.3,19400,,,,
memcopy,18631.6,19353,,,,
update_e,47570.6,47588,1,0,112,12,4439376,3458574,0,0,167152,0,2887626,0,5238
update_src,9.728,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41835.4,41849,1,0,88,14,3696079,3458778,0,0,167152,0,2890124,0,5239
update_e,47610.3,47625,1,0,112,12,4438792,3458106,0,0,167152,0,2885270,0,5238
update_src,8.832,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41847.6,41861,1,0,88,14,3695364,3458112,0,0,167152,0,2887163,0,5238
update_e,47713.1,47727,1,0,112,12,4438812,3458106,0,0,167152,0,2887511,0,5238
update_src,8.864,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41815.5,41828,1,0,88,14,3695351,3458118,0,0,167152,0,2893734,0,5238
update_e,47651,47665,1,0,112,12,4438812,3458106,0,0,167152,0,2888744,0,5238
update_src,9.024,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41801.8,41815,1,0,88,14,3696097,3458784,0,0,167168,0,2892226,0,5238
update_e,47573.2,47587,1,0,112,12,4439692,3458778,0,0,167248,0,2884493,0,5239
update_src,8.576,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41759.2,41773,1,0,88,14,3695353,3458112,0,0,167152,0,2891806,0,5238
update_e,47657.5,47671,1,0,112,12,4438812,3458112,0,0,167152,0,2880362,0,5238
update_src,8.704,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41843.4,41857,1,0,88,14,3695373,3458100,0,0,167152,0,2889659,0,5238
update_e,47649.6,47663,1,0,112,12,4438792,3458118,0,0,167152,0,2889600,0,5238
update_src,8.928,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41866.1,41880,1,0,88,14,3695835,3458574,0,0,167152,0,2886971,0,5238
update_e,47611.6,47625,1,0,112,12,4439692,3458784,0,0,167152,0,2892698,0,5238
update_src,8.416,21,0.312,0,40,26,19,76,0,0,0,0,0,0,1
update_h,41901.6,41915,1,0,88,14,3695347,3458106,0,0,167152,0,2888596,0,5238
update_e,47636.7,47651,1,0,112,12,4438798,3458112,0,0,167152,0,2888209,0,5238
update_src,8.608,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41833.1,41847,1,0,88,14,3695364,3458106,0,0,167152,0,2890665,0,5238
update_e,47639.1,47654,1,0,112,12,4438828,3458100,0,0,167152,0,2884761,0,5238
update_src,8.64,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41885.7,41899,1,0,88,14,3695364,3458106,0,0,167152,0,2888705,0,5238
