# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1407.39,1424,1,0,32,2,0,686336,0,0,28608,0,106303,0,5362
initmem,1406.18,1418,1,0,32,2,0,686336,0,0,28592,0,108262,0,5362
initmem,1406.21,1418,1,0,32,2,0,686208,0,0,28592,0,107105,0,5361
initmem,1410.5,1423,1,0,32,2,0,688640,0,0,28688,0,108025,0,5380
initmem,1411.04,1423,1,0,32,2,0,688512,0,0,28688,0,106441,0,5379
initmem,1411.1,1422,1,0,32,2,0,688512,0,0,28688,0,107338,0,5379
memcopy,18466.1,19731,,,,
memcopy,18758.3,19390,,,,
memcopy,18758.5,19389,,,,
update_e,21989.1,22007,1,6152,96,12,2226268,2045184,0,0,28416,0,1427753,0,5326
update_src,9.344,23,0.312,0,40,26,19,76,0,0,0,0,0,0,1
update_h,17893.4,17906,1,6152,80,12,1714972,2045184,0,0,28400,0,1402598,0,5326
update_e,21982.6,21996,1,6152,96,12,2226268,2045184,0,0,28416,0,1430620,0,5326
update_src,8.704,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17894,17907,1,6152,80,12,1714972,2045184,0,0,28400,0,1401926,0,5326
update_e,21975.8,21989,1,6152,96,12,2226268,2045184,0,0,28400,0,1429277,0,5326
update_src,9.088,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17877,17889,1,6152,80,12,1714972,2045184,0,0,28416,0,1402179,0,5326
update_e,21976.9,21990,1,6152,96,12,2226268,2045184,0,0,28400,0,1429066,0,5326
update_src,8.608,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17882.7,17895,1,6152,80,12,1714972,2045184,0,0,28400,0,1400496,0,5326
update_e,21985.3,21999,1,6152,96,12,2226268,2045184,0,0,28416,0,1430661,0,5326
update_src,8.896,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17896.4,17909,1,6152,80,12,1714972,2045184,0,0,28400,0,1401846,0,5326
update_e,21984.9,21999,1,6152,96,12,2226268,2045184,0,0,28400,0,1424527,0,5326
update_src,9.024,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17906.8,17919,1,6152,80,12,1714972,2045184,0,0,28416,0,1398367,0,5326
update_e,21982.2,21995,1,6152,96,12,2226268,2045184,0,0,28400,0,1425189,0,5326
update_src,8.8,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17921.8,17935,1,6152,80,12,1714972,2045184,0,0,28400,0,1401044,0,5326
update_e,21996,22009,1,6152,96,12,2226268,2045184,0,0,28416,0,1434446,0,5326
update_src,8.704,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17877.1,17890,1,6152,80,12,1714972,2045184,0,0,28400,0,1400526,0,5326
update_e,21995.5,22008,1,6152,96,12,2226268,2045184,0,0,28400,0,1430754,0,5326
update_src,8.768,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17896.9,17910,1,6152,80,12,1714972,2045184,0,0,28416,0,1400802,0,5326
update_e,21972.4,21986,1,6152,96,12,2226268,2045184,0,0,28400,0,1427306,0,5326
update_src,8.736,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17906.2,17919,1,6152,80,12,1714972,2045184,0,0,28400,0,1402803,0,5326
