# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1411.23,1428,1,0,32,2,0,688640,0,0,28704,0,106728,0,5380
initmem,1411.26,1424,1,0,32,2,0,688512,0,0,28688,0,107759,0,5379
initmem,1411.39,1423,1,0,32,2,0,688640,0,0,28688,0,107367,0,5380
initmem,1410.75,1422,1,0,32,2,0,688512,0,0,28688,0,107629,0,5379
initmem,1410.4,1423,1,0,32,2,0,688512,0,0,28688,0,108669,0,5379
initmem,1410.72,1423,1,0,32,2,0,688640,0,0,28688,0,107224,0,5380
memcopy,18455.2,19658,,,,
memcopy,18748.7,19352,,,,
memcopy,18757.7,19338,,,,
update_e,21870.4,21887,1,6152,96,12,2233792,2052096,0,0,28512,0,1481735,0,5344
update_src,9.312,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17915.1,17928,1,6152,80,11,1720768,2052096,0,0,28496,0,1477003,0,5344
update_e,21849.5,21862,1,6152,96,12,2233374,2051712,0,0,28496,0,1480648,0,5343
update_src,9.152,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17921.1,17934,1,6152,80,11,1720768,2052096,0,0,28496,0,1477245,0,5344
update_e,21860.1,21873,1,6152,96,12,2233792,2052096,0,0,28512,0,1477960,0,5344
update_src,9.056,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17915.6,17928,1,6152,80,11,1720768,2052096,0,0,28496,0,1478685,0,5344
update_e,21850.3,21863,1,6152,96,12,2233792,2052096,0,0,28496,0,1476774,0,5344
update_src,8.768,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17908.6,17922,1,6152,80,11,1720768,2052096,0,0,28512,0,1480214,0,5344
update_e,21851.7,21865,1,6152,96,12,2233374,2051712,0,0,28496,0,1481122,0,5343
update_src,8.832,21,0.312,0,40,26,19,76,0,0,0,0,0,0,1
update_h,17921.3,17934,1,6152,80,11,1720446,2051712,0,0,28496,0,1476785,0,5343
update_e,21845.1,21858,1,6152,96,12,2233792,2052096,0,0,28496,0,1482411,0,5344
update_src,8.928,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17907.6,17920,1,6152,80,11,1720768,2052096,0,0,28512,0,1479380,0,5344
update_e,21860.1,21873,1,6152,96,12,2233792,2052096,0,0,28496,0,1483372,0,5344
update_src,8.896,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17919.6,17932,1,6152,80,11,1720768,2052096,0,0,28496,0,1476589,0,5344
update_e,21862,21876,1,6152,96,12,2233792,2052096,0,0,28512,0,1479166,0,5344
update_src,8.512,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17915,17928,1,6152,80,11,1720446,2051712,0,0,28496,0,1479932,0,5343
update_e,21839.2,21852,1,6152,96,12,2233792,2052096,0,0,28496,0,1479643,0,5344
update_src,8.672,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17907,17920,1,6152,80,11,1720768,2052096,0,0,28496,0,1477385,0,5344
update_e,21866.2,21879,1,6152,96,12,2233792,2052096,0,0,28512,0,1477315,0,5344
update_src,8.576,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17939.6,17953,1,6152,80,11,1720768,2052096,0,0,28496,0,1474797,0,5344
