# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1402.91,1419,1,0,32,2,0,684032,0,0,28512,0,105680,0,5344
initmem,1401.41,1413,1,0,32,2,0,684032,0,0,28496,0,107030,0,5344
initmem,1401.47,1413,1,0,32,2,0,684032,0,0,28496,0,107056,0,5344
initmem,1405.73,1418,1,0,32,2,0,686208,0,0,28592,0,107027,0,5361
initmem,1405.98,1418,1,0,32,2,0,686336,0,0,28608,0,107229,0,5362
initmem,1406.94,1419,1,0,32,2,0,686336,0,0,28592,0,106575,0,5362
memcopy,18396.9,19700,,,,
memcopy,18634.5,19453,,,,
memcopy,18633.6,19430,,,,
update_e,48805.6,48825,1,0,104,12,4436252,3400326,0,0,168976,0,3218517,0,5290
update_src,9.088,24,0.312,0,40,26,19,76,0,0,30,0,591,0,1
update_h,42682.8,42697,1,0,80,14,3696916,3400416,0,0,168975,1,3212993,0,5290
update_e,48767.6,48783,1,0,104,12,4436318,3400368,0,0,169056,0,3213465,0,5291
update_src,8.928,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,42755.1,42769,1,0,80,14,3696853,3400308,0,0,168976,0,3215389,0,5291
update_e,48870.3,48885,1,0,104,12,4436302,3400344,0,0,169056,0,3216762,0,5291
update_src,8.64,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,42808.8,42823,1,0,80,14,3696846,3400404,0,0,169056,0,3219162,0,5291
update_e,48894.4,48909,1,0,104,12,4436332,3400302,0,0,168976,0,3223025,0,5291
update_src,8.832,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,42771.4,42787,1,0,80,14,3696831,3400326,0,0,169056,0,3209339,0,5290
update_e,48633.7,48648,1,0,104,12,4436566,3400608,0,0,168976,0,3215162,0,5291
update_src,8.96,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,42715.3,42729,1,0,80,14,3696907,3400368,0,0,169056,0,3211523,0,5291
update_e,48612,48627,1,0,104,12,4436278,3400326,0,0,169056,0,3222728,0,5291
update_src,8.992,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,42786.4,42801,1,0,80,14,3696879,3400344,0,0,168976,0,3218591,0,5291
update_e,48881.2,48896,1,0,104,12,4436282,3400314,0,0,169056,0,3214930,0,5291
update_src,8.864,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,42705.1,42718,1,0,80,14,3696890,3400302,0,0,169056,0,3222566,0,5291
update_e,48761.4,48776,1,0,104,12,4436390,3400416,0,0,168975,1,3229909,0,5290
update_src,8.864,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,42806,42820,1,0,80,14,3697084,3400608,0,0,169056,0,3221094,0,5291
update_e,48733.9,48749,1,0,104,12,4436274,3400308,0,0,168976,0,3215121,0,5291
update_src,8.608,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,42742.5,42756,1,0,80,14,3696846,3400326,0,0,169056,0,3223144,0,5291
update_e,48780.3,48795,1,0,104,12,4436276,3400404,0,0,169056,0,3223914,0,5291
update_src,8.48,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,42794.9,42808,1,0,80,14,3696857,3400314,0,0,168976,0,3217940,0,5291
