# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1403.01,1419,1,0,32,2,0,684032,0,0,28512,0,106074,0,5344
initmem,1401.5,1414,1,0,32,2,0,684032,0,0,28496,0,107344,0,5344
initmem,1401.66,1413,1,0,32,2,0,684032,0,0,28496,0,106958,0,5344
initmem,1406.11,1418,1,0,32,2,0,686208,0,0,28592,0,107191,0,5361
initmem,1405.98,1418,1,0,32,2,0,686336,0,0,28608,0,107166,0,5362
initmem,1406.4,1418,1,0,32,2,0,686336,0,0,28592,0,107057,0,5362
memcopy,18404.8,19694,,,,
memcopy,18633.2,19353,,,,
memcopy,18631.5,19338,,,,
update_e,22057.7,22075,1,6152,112,12,2233374,2051712,0,0,142480,0,1568620,0,5343
update_src,9.056,23,0.312,0,40,26,19,76,0,0,0,0,0,0,1
update_h,17848.8,17861,1,6152,80,13,1709176,2038272,0,0,142480,0,1596469,0,5343
update_e,22062.4,22076,1,6152,112,12,2233792,2052096,0,0,142560,0,1569192,0,5344
update_src,9.024,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17850.2,17863,1,6152,80,13,1709176,2038272,0,0,142480,0,1591733,0,5344
update_e,22049.5,22062,1,6152,112,12,2233792,2052096,0,0,142480,0,1567943,0,5344
update_src,8.704,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17843.4,17856,1,6152,80,13,1709176,2038272,0,0,142560,0,1590245,0,5344
update_e,22043.1,22056,1,6152,112,12,2233582,2051904,0,0,142480,0,1570936,0,5344
update_src,8.768,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17848.4,17862,1,6152,80,13,1709176,2038272,0,0,142480,0,1594815,0,5343
update_e,22050.8,22064,1,6152,112,12,2233792,2052096,0,0,142480,0,1564356,0,5344
update_src,9.12,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17841.8,17855,1,6152,80,13,1709258,2038368,0,0,142560,0,1594791,0,5344
update_e,22038.9,22052,1,6152,112,12,2233792,2052096,0,0,142480,0,1567619,0,5344
update_src,9.024,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17829.3,17842,1,6152,80,13,1709176,2038272,0,0,142480,0,1594348,0,5344
update_e,22045.1,22058,1,6152,112,12,2233792,2052096,0,0,142560,0,1571392,0,5344
update_src,8.928,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17850.5,17863,1,6152,80,13,1709176,2038272,0,0,142480,0,1592918,0,5344
update_e,22058.4,22072,1,6152,112,12,2233374,2051712,0,0,142480,0,1564581,0,5343
update_src,8.48,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17852.9,17866,1,6152,80,13,1709498,2038656,0,0,142480,0,1594570,0,5344
update_e,22019.7,22032,1,6152,112,12,2233792,2052096,0,0,142560,0,1570256,0,5344
update_src,8.576,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17835.2,17849,1,6152,80,13,1709176,2038272,0,0,142480,0,1593794,0,5344
update_e,22035.7,22048,1,6152,112,12,2233792,2052096,0,0,142480,0,1566876,0,5344
update_src,8.48,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17839.5,17853,1,6152,80,13,1709176,2038272,0,0,142560,0,1596971,0,5344
