# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1402.75,1419,1,0,32,2,0,684032,0,0,28512,0,105307,0,5344
initmem,1401.6,1414,1,0,32,2,0,684032,0,0,28496,0,107328,0,5344
initmem,1400.77,1413,1,0,32,2,0,684032,0,0,28496,0,107629,0,5344
initmem,1405.89,1419,1,0,32,2,0,686208,0,0,28592,0,107421,0,5361
initmem,1405.92,1417,1,0,32,2,0,686336,0,0,28608,0,106519,0,5362
initmem,1406.02,1418,1,0,32,2,0,686336,0,0,28592,0,107244,0,5362
memcopy,18402.7,20015,,,,
memcopy,18634.8,19728,,,,
memcopy,18637.2,19666,,,,
update_e,21872.1,21891,1,6152,112,12,2218744,2038272,0,0,142000,0,1583763,0,5326
update_src,9.216,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17826.4,17839,1,6152,80,13,1709176,2038272,0,0,142080,0,1594645,0,5326
update_e,21914.1,21928,1,6152,112,12,2218744,2038272,0,0,142000,0,1579283,0,5326
update_src,8.896,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17841.6,17855,1,6152,80,13,1709176,2038272,0,0,142000,0,1593843,0,5326
update_e,21869.8,21883,1,6152,112,12,2218744,2038272,0,0,142080,0,1585361,0,5326
update_src,8.96,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17840.6,17853,1,6152,80,13,1709176,2038272,0,0,142000,0,1593019,0,5326
update_e,21900.4,21914,1,6152,112,12,2218744,2038272,0,0,142000,0,1583232,0,5326
update_src,9.216,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17832.8,17846,1,6152,80,13,1709176,2038272,0,0,142080,0,1595465,0,5326
update_e,21872.9,21886,1,6152,112,12,2218744,2038272,0,0,142000,0,1583960,0,5326
update_src,8.992,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17844,17857,1,6152,80,13,1709176,2038272,0,0,142000,0,1591485,0,5326
update_e,21861.8,21875,1,6152,112,12,2218744,2038272,0,0,142080,0,1584972,0,5326
update_src,8.832,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17827.4,17841,1,6152,80,13,1709176,2038272,0,0,142000,0,1591097,0,5326
update_e,21869.1,21882,1,6152,112,12,2218744,2038272,0,0,142000,0,1585975,0,5326
update_src,8.96,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17827.7,17841,1,6152,80,13,1709258,2038368,0,0,142080,0,1592835,0,5326
update_e,21902.8,21916,1,6152,112,12,2218848,2038368,0,0,142000,0,1579384,0,5326
update_src,8.832,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17845,17858,1,6152,80,13,1709498,2038656,0,0,142000,0,1591445,0,5326
update_e,21876.2,21890,1,6152,112,12,2219162,2038656,0,0,142080,0,1580889,0,5326
update_src,8.48,21,0.312,0,40,26,19,76,0,0,0,0,0,0,1
update_h,17830.4,17843,1,6152,80,13,1709176,2038272,0,0,142000,0,1592916,0,5326
update_e,21885.6,21898,1,6152,112,12,2218744,2038272,0,0,142080,0,1580519,0,5326
update_src,8.544,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17830.5,17844,1,6152,80,13,1709176,2038272,0,0,142000,0,1594338,0,5326
