# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1411.52,1428,1,0,32,2,0,688640,0,0,28704,0,106868,0,5380
initmem,1410.98,1423,1,0,32,2,0,688512,0,0,28688,0,108077,0,5379
initmem,1411.04,1423,1,0,32,2,0,688640,0,0,28688,0,107818,0,5380
initmem,1410.37,1422,1,0,32,2,0,688512,0,0,28688,0,107975,0,5379
initmem,1410.4,1422,1,0,32,2,0,688512,0,0,28688,0,107794,0,5379
initmem,1411.07,1423,1,0,32,2,0,688640,0,0,28688,0,107593,0,5380
memcopy,18458.9,19791,,,,
memcopy,18749.9,19438,,,,
memcopy,18751,19498,,,,
update_e,21858.6,21876,1,6152,96,12,2233792,2052096,0,0,28512,0,1479947,0,5344
update_src,9.408,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17908.5,17922,1,6152,80,11,1720768,2052096,0,0,28496,0,1479102,0,5344
update_e,21881.8,21895,1,6152,96,12,2233374,2051712,0,0,28496,0,1473398,0,5343
update_src,9.056,24,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17905.5,17919,1,6152,80,11,1720768,2052096,0,0,28496,0,1475179,0,5344
update_e,21871.7,21886,1,6152,96,12,2233792,2052096,0,0,28512,0,1477125,0,5344
update_src,9.344,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17909.1,17923,1,6152,80,11,1720768,2052096,0,0,28496,0,1480315,0,5344
update_e,21850.4,21865,1,6152,96,12,2233792,2052096,0,0,28496,0,1479684,0,5344
update_src,8.608,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17928.1,17941,1,6152,80,11,1720768,2052096,0,0,28512,0,1477764,0,5344
update_e,21880.2,21893,1,6152,96,12,2233374,2051712,0,0,28496,0,1479424,0,5343
update_src,8.448,21,0.312,0,40,26,19,76,0,0,0,0,0,0,1
update_h,17914.7,17928,1,6152,80,11,1720446,2051712,0,0,28496,0,1477199,0,5343
update_e,21857.2,21871,1,6152,96,12,2233792,2052096,0,0,28496,0,1478240,0,5344
update_src,8.96,24,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17899,17913,1,6152,80,11,1720768,2052096,0,0,28512,0,1480462,0,5344
update_e,21874,21888,1,6152,96,12,2233792,2052096,0,0,28496,0,1477434,0,5344
update_src,8.544,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17938.8,17952,1,6152,80,11,1720768,2052096,0,0,28496,0,1476926,0,5344
update_e,21856.4,21873,1,6152,96,12,2233792,2052096,0,0,28512,0,1484023,0,5344
update_src,8.512,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17930.6,17944,1,6152,80,11,1720446,2051712,0,0,28496,0,1477049,0,5343
update_e,21852.1,21865,1,6152,96,12,2233792,2052096,0,0,28496,0,1478391,0,5344
update_src,8.736,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17920.7,17933,1,6152,80,11,1720768,2052096,0,0,28496,0,1478308,0,5344
update_e,21845.2,21858,1,6152,96,12,2233792,2052096,0,0,28512,0,1478571,0,5344
update_src,8.544,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17909.9,17923,1,6152,80,11,1720768,2052096,0,0,28496,0,1477494,0,5344
