# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1403.01,1421,1,0,32,2,0,684032,0,0,28512,0,105629,0,5344
initmem,1401.28,1414,1,0,32,2,0,684032,0,0,28496,0,106324,0,5344
initmem,1401.57,1413,1,0,32,2,0,684032,0,0,28496,0,107337,0,5344
initmem,1405.86,1418,1,0,32,2,0,686208,0,0,28592,0,107205,0,5361
initmem,1406.3,1418,1,0,32,2,0,686336,0,0,28608,0,106075,0,5362
initmem,1406.88,1419,1,0,32,2,0,686336,0,0,28592,0,107077,0,5362
memcopy,18397.1,21946,,,,
memcopy,18639.8,21684,,,,
memcopy,18640.1,21740,,,,
update_e,47220.6,47241,1,0,112,12,4436252,3400326,0,0,168976,0,2896505,0,5290
update_src,9.216,25,0.312,0,40,26,19,76,0,0,30,0,603,0,1
update_h,41497.8,41513,1,0,88,14,3696916,3400416,0,0,168975,1,2913473,0,5290
update_e,47188.4,47205,1,0,112,12,4436318,3400368,0,0,169056,0,2901852,0,5291
update_src,9.056,24,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41474.7,41490,1,0,88,14,3696853,3400308,0,0,168976,0,2917732,0,5291
update_e,47334.6,47352,1,0,112,12,4436302,3400344,0,0,169056,0,2907056,0,5291
update_src,8.896,24,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41431.8,41447,1,0,88,14,3696846,3400404,0,0,169056,0,2911416,0,5291
update_e,47347.8,47364,1,0,112,12,4436332,3400302,0,0,168976,0,2905101,0,5291
update_src,8.576,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41407.3,41422,1,0,88,14,3696831,3400326,0,0,169056,0,2912186,0,5290
update_e,47355,47370,1,0,112,12,4436566,3400608,0,0,168976,0,2907772,0,5291
update_src,8.928,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41427.6,41442,1,0,88,14,3696907,3400368,0,0,169056,0,2914659,0,5291
update_e,47365.9,47381,1,0,112,12,4436278,3400326,0,0,169056,0,2906844,0,5291
update_src,8.864,25,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41409.7,41424,1,0,88,14,3696879,3400344,0,0,168976,0,2906810,0,5291
update_e,47405,47420,1,0,112,12,4436282,3400314,0,0,169056,0,2902485,0,5291
update_src,8.864,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41315,41329,1,0,88,14,3696890,3400302,0,0,169056,0,2907381,0,5291
update_e,47261.2,47276,1,0,112,12,4436390,3400416,0,0,168975,1,2903055,0,5290
update_src,8.704,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41331.3,41345,1,0,88,14,3697084,3400608,0,0,169056,0,2910962,0,5291
update_e,47242.3,47257,1,0,112,12,4436274,3400308,0,0,168976,0,2897403,0,5291
update_src,8.864,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41462.3,41476,1,0,88,14,3696846,3400326,0,0,169056,0,2918276,0,5291
update_e,47303.6,47318,1,0,112,12,4436276,3400404,0,0,169056,0,2911677,0,5291
update_src,8.704,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,41432.2,41446,1,0,88,14,3696857,3400314,0,0,168976,0,2914458,0,5291
