# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 Tesla C1060
method,gputime,cputime,occupancy,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_coherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
initmem,1402.85,1419,1,0,32,2,0,684032,0,0,28512,0,105759,0,5344
initmem,1400.99,1413,1,0,32,2,0,684032,0,0,28496,0,106871,0,5344
initmem,1401.63,1414,1,0,32,2,0,684032,0,0,28496,0,107047,0,5344
initmem,1405.79,1418,1,0,32,2,0,686208,0,0,28592,0,106664,0,5361
initmem,1405.89,1418,1,0,32,2,0,686336,0,0,28608,0,106383,0,5362
initmem,1405.73,1418,1,0,32,2,0,686336,0,0,28592,0,107405,0,5362
memcopy,18401.3,19750,,,,
memcopy,18635.4,19362,,,,
memcopy,18637.3,19462,,,,
update_e,22067,22085,1,6152,112,12,2233374,2051712,0,0,142480,0,1566251,0,5343
update_src,9.12,22,0.312,0,40,26,19,76,0,0,0,0,0,0,1
update_h,17849,17862,1,6152,80,13,1709176,2038272,0,0,142480,0,1595157,0,5343
update_e,22037.2,22051,1,6152,112,12,2233792,2052096,0,0,142560,0,1571786,0,5344
update_src,9.024,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17842.4,17857,1,6152,80,13,1709176,2038272,0,0,142480,0,1593592,0,5344
update_e,22051,22066,1,6152,112,12,2233792,2052096,0,0,142480,0,1566200,0,5344
update_src,8.896,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17836.1,17850,1,6152,80,13,1709176,2038272,0,0,142560,0,1594559,0,5344
update_e,22036.9,22052,1,6152,112,12,2233582,2051904,0,0,142480,0,1570486,0,5344
update_src,8.896,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17844.7,17859,1,6152,80,13,1709176,2038272,0,0,142480,0,1594512,0,5343
update_e,22032.5,22046,1,6152,112,12,2233792,2052096,0,0,142480,0,1569623,0,5344
update_src,9.184,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17841.6,17855,1,6152,80,13,1709258,2038368,0,0,142560,0,1598628,0,5344
update_e,22069,22083,1,6152,112,12,2233792,2052096,0,0,142480,0,1564167,0,5344
update_src,8.928,21,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17841.4,17855,1,6152,80,13,1709176,2038272,0,0,142480,0,1592187,0,5344
update_e,22041.1,22054,1,6152,112,12,2233792,2052096,0,0,142560,0,1565605,0,5344
update_src,8.864,22,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17833.2,17846,1,6152,80,13,1709176,2038272,0,0,142480,0,1594164,0,5344
update_e,22052.8,22066,1,6152,112,12,2233374,2051712,0,0,142480,0,1567657,0,5343
update_src,8.576,24,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17830.5,17845,1,6152,80,13,1709498,2038656,0,0,142480,0,1595179,0,5344
update_e,22030,22044,1,6152,112,12,2233792,2052096,0,0,142560,0,1567093,0,5344
update_src,8.672,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17842.1,17856,1,6152,80,13,1709176,2038272,0,0,142480,0,1592864,0,5344
update_e,22064.7,22079,1,6152,112,12,2233792,2052096,0,0,142480,0,1565799,0,5344
update_src,8.512,23,0.312,0,40,26,0,0,0,0,0,0,0,0,0
update_h,17842.2,17855,1,6152,80,13,1709176,2038272,0,0,142560,0,1592031,0,5344
