-----------------------------------------------------------------
ep1	ep2	d1	d2	theta		ep_eff	ep_eff2
1	4	0.5	0.5	0.67 pi		3.5102	2.2632
1	4	0.5	0.5	0.75 pi		7.9895	1.9995
1	4	0.5	0.5	0.83 pi		3.5102	2.2632
1	4	0.5	0.5	1.00 pi		2.1538	1.8571
1	4	0.7	0.3	0.00 pi		1.6338	1.4390
1	4	0.7	0.3	0.17 pi		2.6011	1.6232
1	4	0.7	0.3	0.25 pi		13.4230	1.4337
1	4	0.7	0.3	0.33 pi		2.6011	1.6232
1	4	0.7	0.3	0.50 pi		1.6338	1.4390
1	4	0.7	0.3	0.67 pi		2.6011	1.6232
1	4	0.7	0.3	0.75 pi		13.3111	1.4284
1	4	0.7	0.3	0.83 pi		2.6011	1.6232
1	4	0.7	0.3	1.00 pi		1.6338	1.4390
1	4	1	0	0.00 pi		1.0000	1.0000
1	4	1	0	0.17 pi		1.0000	1.0000
1	4	1	0	0.25 pi		1.0000	1.0000
1	4	1	0	0.33 pi		1.0000	1.0000
1	4	1	0	0.50 pi		1.0000	1.0000
1	4	1	0	0.67 pi		1.0000	1.0000
1	4	1	0	0.75 pi		1.0000	1.0000
1	4	1	0	0.83 pi		1.0000	1.0000
1	4	1	0	1.00 pi		1.0000	1.0000
-----------------------------------------------------------------
